Name,Required,Type,Restrictions,Valid Values
"California Proposition 65 Chemical Names 5","Optional","Enum","","a_alpha_c_2_amino_9_h_pyrido_2_3_b_indol;abiraterone_acetate;acetaldehyde;acetamide;acetazolamide;acetochlor;acetohydroxamic_acid;acifluorfen_sodium;acrylamide;acrylonitrile;actinomycin_d;af_2_2_2_furyl_3_5_nitro_2_furyl_acrylam;aflatoxins;alachlor;alc_bev_when_associated_w_alcohol_abuse;aldrin;all_trans_retinoic_acid;aloe_vera_non_decolor_whole_leaf_extract;alpha_methyl_styrene_alpha_methylstyrene;alprazolam;altretamine;amantadine_hydrochloride;amikacin_sulfate;aminoglutethimide;aminoglycosides;aminopterin;amiodarone_hydrochloride;amitraz;amitrole;amoxapine;amsacrine;anabolic_steroids;analgesic_mixtures_containing_phenacetin;androstenedione;angiote_converting_enzyme_ace_inhibitors;aniline;aniline_hydrochloride;anisindione;anthraquinone;antimony_oxide_antimony_trioxide;aramite;areca_nut;aristolochic_acids;arsenic_inorganic_arsenic_compounds;arsenic_inorganic_oxides;asbestos;aspirin;atenolol;atrazine;auramine;auranofin;avermectin_b_1_abamectin;azacitidine;azaserine;azathioprine;azobenzene;barbiturates;beclomethasone_dipropionate;benomyl;benthiavalicarb_isopropyl;benz_a_anthracene;benzene;benzidine_and_its_salts;benzidine_based_dyes;benzo_a_pyrene;benzo_b_fluoranthene;benzo_j_fluoranthene;benzo_k_fluoranthene;benzodiazepines;benzofuran;benzophenone;benzotrichloride;benzphetamine_hydrochloride;benzyl_chloride;benzyl_violet_4_b;beryllium;beryllium_and_beryllium_compounds;beryllium_oxide;beryllium_sulfate;beta_butyrolactone;beta_myrcene;beta_propiolactone;betel_quid_with_tobacco;betel_quid_without_tobacco;bis_2_chloro_1_methyleth_ether_technical;bis_2_chloroethyl_ether;bis_chloromethyl_ether;bischloroethyl_nitrosourea_bcnu_carmusti;bisphenol_a_bpa;bitumens_extracts_steam_refined_air_refi;bracken_fern;bromacil_lithium_salt;bromate;bromochloroacetic_acid;bromodichloroacetic_acid;bromodichloromethane;bromoethane;bromoform;bromoxynil;bromoxynil_octanoate;butabarbital_sodium;butyl_benzyl_phthalate_bbp_d;butylated_hydroxyanisole;c_i_acid_red_114;c_i_basic_red_9_monohydrochloride;c_i_direct_blue_15;c_i_direct_blue_218;c_i_disperse_yellow_3;c_i_solvent_yellow_14;cacodylic_acid;cadmium;cadmium_and_cadmium_compounds;caffeic_acid;captafol;captan;carb_bla_airborne_unbou_part_of_res_size;carbamazepine;carbaryl;carbazole;carbon_black_extracts;carbon_disulfide;carbon_monoxide;carbon_tetrachloride;carboplatin;catechol;ceramic_fiber_airbor_part_respirable_siz;certain_combined_chemotherapy_for_lympho;chenodiol;chl_pa_av_ch_len_c12_ap_60_pcnt_chlo_wgt;chloral;chloral_hydrate;chlorambucil;chloramphenicol_sodium_succinate;chlorcyclizine_hydrochloride;chlordane;chlordecone_kepone;chlordiazepoxide;chlordiazepoxide_hydrochloride;chlordimeform;chlorendic_acid;chloroethane_ethyl_chloride;chloroform;chloromethyl_methyl_ether_technical_grad;chloroprene;chlorothalonil;chlorotrianisene;chlorozotocin;chlorpyrifos;chromium_hexavalent_compounds;chrysene;ciclosporin_cyclosporin_a_cyclosporine;cidofovir;cinnamyl_anthranilate;cisplatin;citrus_red_no_2;cladribine;clarithromycin;clobetasol_propionate;clofibrate;clomiphene_citrate;clorazepate_dipotassium;cmnp_pyrazachlor;cobalt_ii_oxide;cobalt_metal_powder;cobalt_sulfate;cobalt_sulfate_heptahydrate;cocaine;coconut_oil_diet_condensate_cocamid_diet;codeine_phosphate;coke_oven_emissions;colchicine;conjugated_estrogens;creosotes;cumene;cupferron;cyan_salt_tha_rea_dis_in_solut_exp_as_cy;cyanazine;cycasin;cycloate;cycloheximide;cyclopenta_cd_pyrene;cyclophosphamide_anhydrous;cyclophosphamide_hydrated;cyhexatin;cytarabine;cytembena;d_c_orange_no_17;d_c_red_no_19;d_c_red_no_8;d_c_red_no_9;dacarbazine;daminozide;danazol;dantron_chrysazin_1_8_dihydroxyanthraqui;daunomycin;daunorubicin_hydrochloride;ddd_dichlorodiphenyl_dichloroethane;dde_dichlorodiphenyl_dichloroethylene;ddt_dichlorodiphenyl_trichloroethane;ddvp_dichlorvos;demeclocyclin_hydrochloride_internal_use;des_ethyl_atrazine_dea;des_isopropyl_atrazine_dia;di_2_ethylhexyl_phthalate_dehp;di_isodecyl_phthalate_didp;di_n_butyl_phthalate_dbp;di_n_hexyl_phthalate_dn_hp;di_n_propyl_isocinchom_mgk_repellent_326;diazepam;diazoaminobenzene;diazoxide;dibenz_a_c_anthracene;dibenz_a_h_acridine;dibenz_a_h_anthracene;dibenz_a_j_acridine;dibenz_a_j_anthracene;dibenzanthracenes;dibenzo_a_e_pyrene;dibenzo_a_h_pyrene;dibenzo_a_i_pyrene;dibenzo_a_l_pyrene;dibromoacetic_acid;dibromoacetonitrile;dichloroacetic_acid;dichloromethane_methylene_chloride;dichlorophene;dichlorphenamide;diclofop_methyl;dicumarol;dieldrin;diepoxybutane;diesel_engine_exhaust;diethanolamine;diethyl_sulfate;diethylstilbestrol_des;diflunisal;diglycidyl_resorcinol_ether_dgre;dihydroergotamine_mesylate;dihydrosafrole;diisononyl_phthalate_dinp;diisopropyl_sulfate;diltiazem_hydrochloride;dimethyl_sulfate;dimethylcarbamoyl_chloride;dimethylvinylchloride;dinitrotoluene_mixture_2_4_2_6;dinitrotoluene_technical_grade;dinocap;dinoseb;diphenylhydantoin_phenytoin;diphenylhydantoin_phenytoin_sodium_salt;direct_black_38_technical_grade;direct_blue_6_technical_grade;direct_brown_95_technical_grade;disodium_cyanodithioimidocarbonate;disperse_blue_1;diuron;doxorubicin_hydrochloride_adriamycin;doxycycline_calcium_internal_use;doxycycline_hyclate_internal_use;doxycycline_internal_use;doxycycline_monohydrate_internal_use;emissi_fr_hi_temp_unrefined_rapeseed_oil;emissions_from_combustion_of_coal;endrin;environmental_tobacco_smoke_ets;epichlorohydrin;epoxiconazole;ergotamine_tartrate;erionite;estradiol_17_b;estragole;estrog_progest_comb_used_as_menop_therap;estrogens_steroidal;estrone;estropipate;ethanol_in_alcoholic_beverages;ethinylestradiol;ethionamide;ethoprop;ethyl_4_4_dichlorobenzilate;ethyl_acrylate;ethyl_alcohol_in_alcoholic_beverages;ethyl_dipropylthiocarbamate;ethyl_methanesulfonate;ethylbenzene;ethylene_dibromide;ethylene_dichloride_1_2_dichloroethane;ethylene_glycol_ingested;ethylene_glycol_monoethyl_ether;ethylene_glycol_monoethyl_ether_acetate;ethylene_glycol_monomethyl_ether;ethylene_glycol_monomethyl_ether_acetate;ethylene_oxide;ethylene_thiourea;ethyleneimine_aziridine;etodolac;etoposide;etoposide_in_comb_with_cispla_and_bleomy;etretinate;fenoxaprop_ethyl;fenoxycarb;filgrastim;fluazifop_butyl;flunisolide;fluorouracil;fluoxymesterone;flurazepam_hydrochloride;flurbiprofen;flutamide;fluticasone_propionate;fluvalinate;folpet;formaldehyde_gas;fumonisin_b_1;furan;furazolidone;furfuryl_alcohol;furmecyclox;fusarin_c;gallium_arsenide;ganciclovir;ganciclovir_sodium;gaso_engine_exhaust_condensates_extracts;gemfibrozil;glass_wool_fibers_inhalable_and_biopersi;glu_p_1_2_amino_6_meth_1_2_a_3_2_d_imida;glu_p_2_2_aminodip_1_2_a_3_2_d_imidazole;glycidaldehyde;glycidol;glyphosate;goldenseal_root_powder;goserelin_acetate;griseofulvin;gyromitrin_acetaldehyde_methylformylhydr;halazepam;halobetasol_propionate;haloperidol;halothane;hc_blue_1;heptachlor;heptachlor_epoxide;herb_remed_cont_plant_spec_genus_aristol;hexachlorobenzene;hexachlorobutadiene;hexachlorocyclohexane_alpha_isomer;hexachlorocyclohexane_beta_isomer;hexachlorocyclohexane_gamma_isomer;hexachlorocyclohexane_technical_grade;hexachlorodibenzodioxin;hexachloroethane;hexafluoroacetone;hexamethylphosphoramide;histrelin_acetate;hydramethylnon;hydrazine;hydrazine_sulfate;hydrazobenzene_1_2_diphenylhydrazine;hydrogen_cyanide;hydrogen_cyanide_hcn_and_cyanide_salts;hydroxyurea;idarubicin_hydrochloride;ifosfamide;imazalil;indeno_1_2_3_cd_pyrene;indium_phosphide;iodine_131;iprodione;iprovalicarb;iq_2_amino_3_methylimida_4_5_f_quinoline;iron_dextran_complex;isobutyl_nitrite;isoprene;isopyrazam;isotretinoin;isoxaflutole;1_1_1_2_tetrachloroethane;1_1_2_2_tetrachloroethane;1_1_dichlor_2_2_bis_p_chlorop_ethyle_dde;1_1_dichloroethane;1_1_dimethylhydrazine_udmh;1_2_3_trichloropropane;1_2_chloro_3_4_me_1_nitrosou_methyl_ccnu;1_2_chloro_3_cycloh_1_nitroso_ccnu_lomus;1_2_dibromo_3_chloropropane_dbcp;1_2_dichloropropane;1_2_diethylhydrazine;1_2_dimethylhydrazine;1_3_butadiene;1_3_dichloro_2_propanol_1_3_dcp;1_3_dichloropropene;1_3_dinitropyrene;1_3_propane_sultone;1_4_butanediol_dimethanesulfona_busulfan;1_4_dichloro_2_butene;1_4_dioxane;1_5_nitrofurfurylidene_amino_2_imidazoli;1_6_dinitropyrene;1_8_dinitropyrene;1_amino_2_4_dibromoanthraquinone;1_amino_2_methylanthraquinone;1_bromopropane_1_bp;1_chloro_4_nitrobenzene;1_hydroxyanthraquinone;1_naphthylamine;1_nitropyrene;2_2_bis_bromomethyl_1_3_propanediol;2_2_formylhyd_4_5_nitro_2_furyl_thiazole;2_3_7_8_tetrachlorodibenzo_p_dioxin_tcdd;2_3_dibromo_1_propanol;2_4_5_trimethy_and_its_strong_acid_salts;2_4_6_trichlorophenol;2_4_6_trinitrotoluene_tnt;2_4_d_butyric_acid;2_4_diamino_6_chloro_s_triazine_dact;2_4_diaminoanisole;2_4_diaminoanisole_sulfate;2_4_diaminotoluene;2_4_dinitrotoluene;2_4_hexa_89_tra_tra_isome_11_cis_tra_iso;2_5_hexanedione;2_6_dimethyl_n_nitrosomorpholine_dmnm;2_6_dinitrotoluene;2_6_xylidine_2_6_dimethylaniline;2_acetylaminofluorene;2_amino_5_5_nitro_2_furyl_1_3_4_thiadiaz;2_aminoanthraquinone;2_aminofluorene;2_bromopropane_2_bp;2_chloropropionic_acid;2_mercaptobenzothiazole;2_methyl_1_nitroanth_of_uncertain_purity;2_methylaziridine_propyleneimine;2_methylimidazole;2_naphthylamine;2_nitrofluorene;2_nitropropane;3_3_4_4_tetrachloroazobenzene;3_3_dichloro_4_4_diamino_diphenyl_ether;3_3_dichlorobenzidine;3_3_dichlorobenzidine_dihydrochloride;3_3_dimet_base_dyes_metabo_to_3_3_dimeth;3_3_dimeth_based_dyes_metabo_to_3_3_dime;3_3_dimethoxybenzidine_dihydrochloride;3_3_dimethoxybenzidine_o_dianisidine;3_3_dimethylbenzidine_dihydrochloride;3_3_dimethylbenzidine_ortho_tolidine;3_7_dinitrofluoranthene;3_9_dinitrofluoranthene;3_amino_9_ethylcarbazole_hydrochloride;3_chloro_2_methylpropene;3_methylcholanthrene;3_monochloropropane_1_2_diol_3_mcpd;3_n_nitrosomethylamino_propionitrile;4_4_diaminodiphen_ether_4_4_oxydianiline;4_4_methylene_bis_2_chloroaniline;4_4_methylene_bis_2_methylaniline;4_4_methylene_bis_n_n_dimethyl_benzenami;4_4_methylenedianiline;4_4_methylenedianiline_dihydrochloride;4_4_thiodianiline;4_amino_2_nitrophenol;4_aminobiphenyl_4_aminodiphenyl;4_chloro_o_phenylenediamine;4_dimethylaminoazobenzene;4_methylimidazole;4_n_nitrosomethyl_1_3_pyridyl_1_butanone;4_nitrobiphenyl;4_nitropyrene;4_vinyl_1_cycloh_diepoxide_vinyl_cyclohe;4_vinylcyclohexene;5_chloro_o_toluidi_its_strong_acid_salts;5_methoxypsor_with_ultraviolet_a_therapy;5_methylchrysene;5_morpho_3_5_nitrofurf_idene_amino_2_oxa;5_nitroacenaphthene;6_nitrochrysene;7_12_dimethylbenz_a_anthracene;7_h_dibenzo_c_g_carbazole;8_methoxypsor_with_ultraviolet_a_therapy;kresoxim_methyl;lactofen;lasiocarpine;lead;lead_acetate;lead_and_lead_compounds;lead_phosphate;lead_subacetate;leather_dust;leuprolide_acetate;levodopa;levonorgestrel_implants;lindane_and_other_hexachlorocycl_isomers;linuron;lithium_carbonate;lithium_citrate;lorazepam;lovastatin;lynestrenol;m_dinitrobenzene;malathion;malonaldehyde_sodium_salt;mancozeb;maneb;marijuana_smoke;me_a_alph_c_2_am_3_met_9_h_pyr_2_3_b_ind;me_i_qx_2_amino_3_8_dimethyl_4_5_f_quino;me_iq_2_amino_3_4_dimeth_4_5_f_quinoline;mebendazole;medroxyprogesterone_acetate;megestrol_acetate;melphalan;menotropins;mepanipyrim;meprobamate;mercaptopurine;mercury_and_mercury_compounds;merphalan;mestranol;metam_potassium;methacycline_hydrochloride;metham_sodium;methanol;methazole;methimazole;methotrexate;methotrexate_sodium;methyl_bromide_as_a_structural_fumigant;methyl_carbamate;methyl_chloride;methyl_iodide;methyl_isobutyl_ketone;methyl_isobutyl_ketone_mibk;methyl_isocyanate_mic;methyl_mercury;methyl_methanesulfonate;methyl_n_butyl_ketone;methylazoxymethanol;methylazoxymethanol_acetate;methyleugenol;methylhydrazine;methylhydrazine_and_its_salts;methylhydrazine_sulfate;methylmercury_compounds;methyltestosterone;methylthiouracil;metiram;metronidazole;michlers_ketone;midazolam_hydrochloride;minocycline_hydrochloride_internal_use;mirex;misoprostol;mitomycin_c;mitoxantrone_hydrochloride;molinate;mon_13900_furilazole;mon_4660_dichl_1_oxa_4_azaspi_4_5_decane;monocrotaline;mop_vincr_pred_nitrogen_mustard_proc_mix;mustard_gas;mx_3_chloro_4_dich_5_hydr_2_5_h_furanone;myclobutanil;n_4_5_nitro_2_furyl_2_thiazolyl_acetamid;n_carboxymethyl_n_nitrosourea;n_hexane;n_methyl_n_nitro_n_nitrosoguanidine;n_methylolacrylamide;n_methylpyrrolidone;n_n_bis_2_chloroethyl_2_naphthyla_chlorn;n_n_diacetylbenzidine;n_n_dimethyl_p_toluidine;n_n_dimethylacetamide;n_n_dimethylformamide;n_nitroso_n_ethylurea;n_nitroso_n_methylurea;n_nitroso_n_methylurethane;n_nitrosodi_n_butylamine;n_nitrosodi_n_propylamine;n_nitrosodiethanolamine;n_nitrosodiethylamine;n_nitrosodimethylamine;n_nitrosodiphenylamine;n_nitrosomethyl_n_butylamine;n_nitrosomethyl_n_decylamine;n_nitrosomethyl_n_dodecylamine;n_nitrosomethyl_n_heptylamine;n_nitrosomethyl_n_hexylamine;n_nitrosomethyl_n_nonylamine;n_nitrosomethyl_n_octylamine;n_nitrosomethyl_n_pentylamine;n_nitrosomethyl_n_propylamine;n_nitrosomethyl_n_tetradecylamine;n_nitrosomethyl_n_undecylamine;n_nitrosomethylethylamine;n_nitrosomethylvinylamine;n_nitrosomorpholine;n_nitrosonornicotine;n_nitrosopiperidine;n_nitrosopyrrolidine;n_nitrososarcosine;nabam;nafarelin_acetate;nafenopin;nalidixic_acid;naphthalene;neomycin_sulfate_internal_use;netilmicin_sulfate;nickel_acetate;nickel_carbonate;nickel_carbonyl;nickel_compounds;nickel_hydroxide;nickel_metallic;nickel_oxide;nickel_refine_dust_from_the_pyromet_proc;nickel_subsulfide;nickelocene;nicotine;nifedipine;nimodipine;niridazole;nitrapyrin;nitrilot_acid_trisodium_salt_monohydrate;nitrilotriacetic_acid;nitrobenzene;nitrofen_technical_grade;nitrofurantoin;nitrofurazone;nitrogen_mustard_hydrochl_mechl_hydrochl;nitrogen_mustard_mechlorethamine;nitrogen_mustard_n_oxide;nitrogen_mustard_n_oxide_hydrochloride;nitromethane;nitrous_oxide;norethis_norethindrone_ethinyl_estradiol;norethiste_acetate_norethindrone_acetate;norethisterone_norethindrone;norethisterone_norethindrone_mestranol;norethynodrel;norgestrel;o_aminoazotoluene;o_anisidine;o_anisidine_hydrochloride;o_dinitrobenzene;o_nitroanisole;o_nitrotoluene;o_p_ddt;o_phenylenediamine;o_phenylenediamine_and_its_salts;o_phenylenediamine_dihydochloride;o_phenylphenate_sodium;o_phenylphenol;o_toluidine;o_toluidine_hydrochloride;ochratoxin_a;oil_orange_ss;oral_contraceptives_combined;oral_contraceptives_sequential;oryzalin;oxadiazon;oxazepam;oxydemeton_methyl;oxymetholone;oxytetracycli_hydrochloride_internal_use;oxytetracycline_internal_use;oxythioquinox_chinomethionat;p_a_a_a_tetrachlorotoluene;p_aminoazobenzene;p_chloro_o_toluidine;p_chloro_o_toluidine_hydrochloride;p_chloro_o_toluidine_strong_acid_salts;p_chloroaniline;p_chloroaniline_hydrochloride;p_cresidine;p_dichlorobenzene;p_dinitrobenzene;p_nitrosodiphenylamine;p_p_ddt;paclitaxel;palygorskite_fibers_5_mm_in_length;panfuran_s;paramethadione;parathion;penicillamine;pent_and_by_prod_of_its_synt_com_mixture;pent_ether_mixture_de_71_technical_grade;pentachlorophenol;pentobarbital_sodium;pentosan_polysulfate_sodium;pentostatin;perfluorooctane_sulfonate_pfos;perfluorooctanoic_acid_pfoa;pertuzumab;phenacemide;phenacetin;phenazopyridine;phenazopyridine_hydrochloride;phenesterin;phenobarbital;phenolphthalein;phenoxybenzamine;phenoxybenzamine_hydrochloride;phenprocoumon;phenyl_glycidyl_ether;phenylhydrazine;phenylhydrazine_and_its_salts;phenylhydrazine_hydrochloride;phenylphosphine;phi_p_2_amino_1_methyl_6_phen_4_5_b_pyri;pimozide;pioglitazone;pipobroman;pirimicarb;plicamycin;pol_bip_con_60_or_mor_pcnt_chlo_mole_wgt;polybrominated_biphenyls;polychlorinated_biphenyls;polychlorinated_dibenzo_p_dioxins;polychlorinated_dibenzofurans;polygeenan;ponceau_3_r;ponceau_mx;potassium_bromate;potassium_cyanide;potassium_dimethyldithiocarbamate;pravastatin_sodium;prednisolone_sodium_phosphate;primidone;procarbazine;procarbazine_hydrochloride;procymidone;progesterone;pronamide;propachlor;propargite;propazine;propoxur;propylene_glycol_mono_t_butyl_ether;propylene_oxide;propylthiouracil;pulegone;pymetrozine;pyridine;pyrimethamine;quazepam;quinoline_and_its_strong_acid_salts;quizalofop_ethyl;radionuclides;re_re_es_in_da_do_in_ex_of_10_iu_3_re_eq;reserpine;residual_heavy_fuel_oils;resmethrin;ribavirin;riddelliine;rifampin;s_s_s_tributyl_phosphorotri_tribufos_def;safrole;salted_fish_chinese_style;secobarbital_sodium;sedaxane;selenium_sulfide;sermorelin_acetate;shale_oils;sili_crys_airbo_partic_of_respirable_siz;simazine;so_ta_a_mi_oi_un_an_mi_tr_oi_an_us_en_oi;sodium_cyanide;sodium_dimethyldithiocarbamate;sodium_fluoroacetate;spirodiclofen;spironolactone;stanozolol;sterigmatocystin;streptomycin_sulfate;streptozocin_streptozotocin;streptozotocin_streptozocin;strong_inorga_acid_mists_cont_sulfu_acid;styrene;styrene_oxide;sulfallate;sulfasalazine_salicylazosulfapyridine;sulfur_dioxidee;sulindac;talc_containing_asbestiform_fibers;tamoxifen_and_its_salts;tamoxifen_citrate;temazepam;teniposide;terbacil;teriparatide;terrazole;testosterone_and_its_esters;testosterone_cypionate;testosterone_enanthate;tetrabromobisphenol_a;tetrachloroethylene_perchloroethylene;tetrachlorvinphos;tetracycline_hydrochloride_internal_use;tetracycline_internal_use;tetracyclines_internal_use;tetrafluoroethylene;tetranitromethane;thalidomide;thioacetamide;thiodicarb;thioguanine;thiophanate_methyl;thiouracil;thiourea;thorium_dioxide;tit_dio_airb_unb_part_of_respirable_size;tobacco_oral_use_of_smokeless_products;tobacco_smoke;tobacco_smoke_primary;tobramycin_sulfate;toluene;toluene_diisocyanate;topiramate;toxaphene_polychlorinated_camphenes;toxins_derived_from_fusari_mon_fusa_vert;tran_2_dim_met_5_2_5_ni_2_fu_vi_1_3_4_ox;treosulfan;triadimefon;triamterene;triazolam;tributyltin_methacrylate;trichlormethine_trimustine_hydrochloride;trichloroacetic_acid;trichloroethylene;trientine_hydrochloride;triforine;trilostane;trim_rx;trimethadione;trimethyl_phosphate;trimetrexate_glucuronate;triphenyltin_hydroxide;tris_1_3_dichloro_2_propyl_phospha_tdcpp;tris_1_aziridinyl_phosp_sulfide_thiotepa;tris_2_3_dibromopropyl_phosphate;tris_2_chloroethyl_phosphate;trp_p_1_tryptophan_p_1;trp_p_2_tryptophan_p_2;trypan_blue_commercial_grade;unleaded_gasoline_wholly_vaporized;uracil_mustard;urethane_ethyl_carbamate;urofollitropin;valproate_valproic_acid;vanadium_pentoxid_ortho_crystalline_form;vinblastine_sulfate;vinclozolin;vincristine_sulfate;vinyl_bromide;vinyl_chloride;vinyl_cyclohe_dioxide_4_vinyl_1_cycl_die;vinyl_fluoride;vinyl_trichloride_1_1_2_trichloroethane;vinylidene_chloride_1_1_dichloroethylene;vismodegib;warfarin;wood_dust;zalcitabine;zidovudine_azt;zileuton"
"Eu Tire Class","Optional","Enum","","c1;c2;c3"
"Warranty Description","Optional","String","maxLength:50;minLength:1",""
"Quantity Lower Bound 3","Optional","Integer","totalDigits:12",""
"National Stock Number","Optional","String","maxLength:50;minLength:1",""
"Making Charges Sale Price","Optional","String","minLength:1;maxLength:50",""
"Quantity Price 4","Optional","Decimal","totalDigits:20;fractionDigits:4",""
"Rental Price (Value)","Optional","Decimal","fractionDigits:4;totalDigits:20",""
"Unit Count","Optional","Decimal","",""
"Country Of Origin","Optional","String","pattern:[a-zA-Z][a-zA-Z]|unknown",""
