Name,Required,Type,Restrictions,Valid Values
"Shoe Size","Optional","Enum","","fraction_14_and_1_ninth;fraction_14_and_1_third;fraction_14_and_2_thirds;fraction_15_and_1_ninth;fraction_15_and_1_third;fraction_15_and_2_thirds;fraction_16_and_1_ninth;fraction_16_and_1_third;fraction_16_and_2_thirds;fraction_17_and_1_ninth;fraction_17_and_1_third;fraction_17_and_2_thirds;fraction_18_and_1_ninth;fraction_18_and_1_third;fraction_18_and_2_thirds;fraction_19_and_1_ninth;fraction_19_and_1_third;fraction_19_and_2_thirds;fraction_20_and_1_ninth;fraction_20_and_1_third;fraction_20_and_2_thirds;fraction_21_and_1_ninth;fraction_21_and_1_third;fraction_21_and_2_thirds;fraction_22_and_1_ninth;fraction_22_and_1_third;fraction_22_and_2_thirds;fraction_23_and_1_ninth;fraction_23_and_1_third;fraction_23_and_2_thirds;fraction_24_and_1_ninth;fraction_24_and_1_third;fraction_24_and_2_thirds;fraction_25_and_1_ninth;fraction_25_and_1_third;fraction_25_and_2_thirds;fraction_26_and_1_ninth;fraction_26_and_1_third;fraction_26_and_2_thirds;fraction_27_and_1_ninth;fraction_27_and_1_third;fraction_27_and_2_thirds;fraction_28_and_1_ninth;fraction_28_and_1_third;fraction_28_and_2_thirds;fraction_29_and_1_ninth;fraction_29_and_1_third;fraction_29_and_2_thirds;fraction_30_and_1_ninth;fraction_30_and_1_third;fraction_30_and_2_thirds;fraction_31_and_1_ninth;fraction_31_and_1_third;fraction_31_and_2_thirds;fraction_32_and_1_ninth;fraction_32_and_1_third;fraction_32_and_2_thirds;fraction_33_and_1_ninth;fraction_33_and_1_third;fraction_33_and_2_thirds;fraction_34_and_1_ninth;fraction_34_and_1_third;fraction_34_and_2_thirds;fraction_35_and_1_ninth;fraction_35_and_1_third;fraction_35_and_2_thirds;fraction_36_and_1_ninth;fraction_36_and_1_third;fraction_36_and_2_thirds;fraction_37_and_1_ninth;fraction_37_and_1_third;fraction_37_and_2_thirds;fraction_38_and_1_ninth;fraction_38_and_1_third;fraction_38_and_2_thirds;fraction_39_and_1_ninth;fraction_39_and_1_third;fraction_39_and_2_thirds;fraction_40_and_1_ninth;fraction_40_and_1_third;fraction_40_and_2_thirds;fraction_41_and_1_ninth;fraction_41_and_1_third;fraction_41_and_2_thirds;fraction_42_and_1_ninth;fraction_42_and_1_third;fraction_42_and_2_thirds;fraction_43_and_1_ninth;fraction_43_and_1_third;fraction_43_and_2_thirds;fraction_44_and_1_ninth;fraction_44_and_1_third;fraction_44_and_2_thirds;fraction_45_and_1_ninth;fraction_45_and_1_third;fraction_45_and_2_thirds;fraction_46_and_1_ninth;fraction_46_and_1_third;fraction_46_and_2_thirds;fraction_47_and_1_ninth;fraction_47_and_1_third;fraction_47_and_2_thirds;fraction_48_and_1_ninth;fraction_48_and_1_third;fraction_48_and_2_thirds;fraction_49_and_1_ninth;fraction_49_and_1_third;fraction_49_and_2_thirds;fraction_50_and_1_ninth;fraction_50_and_1_third;fraction_50_and_2_thirds;fraction_51_and_1_ninth;fraction_51_and_1_third;fraction_51_and_2_thirds;fraction_52_and_1_ninth;fraction_52_and_1_third;fraction_52_and_2_thirds;fraction_53_and_1_ninth;fraction_53_and_1_third;fraction_53_and_2_thirds;fraction_54_and_1_ninth;fraction_54_and_1_third;fraction_54_and_2_thirds;fraction_55_and_1_ninth;fraction_55_and_1_third;fraction_55_and_2_thirds;fraction_56_and_1_ninth;fraction_56_and_1_third;fraction_56_and_2_thirds;fraction_57_and_1_ninth;fraction_57_and_1_third;fraction_57_and_2_thirds;fraction_58_and_1_ninth;fraction_58_and_1_third;fraction_58_and_2_thirds;fraction_59_and_1_ninth;fraction_59_and_1_third;fraction_59_and_2_thirds;0_months;12_months;15_months;18_months;2_point_5_years;2_years;21_months;24_months;3_months;3_point_5_years;3_years;4_point_5_years;4_years;5_years;6_months;9_months;large;ll;measurement_10_point_0_centimeters;measurement_10_point_5_centimeters;measurement_11_point_0_centimeters;measurement_11_point_5_centimeters;measurement_12_point_0_centimeters;measurement_12_point_5_centimeters;measurement_13_point_0_centimeters;measurement_13_point_5_centimeters;measurement_14_point_0_centimeters;measurement_14_point_5_centimeters;measurement_15_point_0_centimeters;measurement_15_point_5_centimeters;measurement_16_point_0_centimeters;measurement_16_point_5_centimeters;measurement_17_point_0_centimeters;measurement_17_point_5_centimeters;measurement_18_point_0_centimeters;measurement_18_point_5_centimeters;measurement_19_point_0_centimeters;measurement_19_point_5_centimeters;measurement_20_point_0_centimeters;measurement_20_point_5_centimeters;measurement_21_point_0_centimeters;measurement_21_point_5_centimeters;measurement_22_point_0_centimeters;measurement_22_point_5_centimeters;measurement_23_point_0_centimeters;measurement_23_point_5_centimeters;measurement_24_point_0_centimeters;measurement_24_point_5_centimeters;measurement_25_point_0_centimeters;measurement_25_point_5_centimeters;measurement_26_point_0_centimeters;measurement_26_point_5_centimeters;measurement_27_point_0_centimeters;measurement_27_point_5_centimeters;measurement_28_point_0_centimeters;measurement_28_point_5_centimeters;measurement_29_point_0_centimeters;measurement_29_point_5_centimeters;measurement_30_point_0_centimeters;measurement_30_point_5_centimeters;measurement_31_point_0_centimeters;measurement_31_point_5_centimeters;measurement_32_point_0_centimeters;measurement_32_point_5_centimeters;measurement_33_point_0_centimeters;measurement_33_point_5_centimeters;measurement_34_point_0_centimeters;measurement_34_point_5_centimeters;measurement_35_point_0_centimeters;measurement_35_point_5_centimeters;measurement_36_point_0_centimeters;measurement_36_point_5_centimeters;measurement_37_point_0_centimeters;measurement_37_point_5_centimeters;measurement_38_point_0_centimeters;measurement_38_point_5_centimeters;measurement_39_point_0_centimeters;measurement_39_point_5_centimeters;measurement_40_point_0_centimeters;medium;numeric_0;numeric_0_point_5;numeric_1;numeric_1_point_5;numeric_10;numeric_10_point_5;numeric_11;numeric_11_point_5;numeric_12;numeric_12_point_5;numeric_13;numeric_13_point_5;numeric_14;numeric_14_point_5;numeric_15;numeric_15_point_5;numeric_16;numeric_16_point_5;numeric_17;numeric_17_point_5;numeric_18;numeric_18_point_5;numeric_19;numeric_19_point_5;numeric_2;numeric_2_point_5;numeric_20;numeric_20_point_5;numeric_21;numeric_21_point_5;numeric_22;numeric_22_point_5;numeric_23;numeric_23_point_5;numeric_24;numeric_24_point_5;numeric_25;numeric_25_point_5;numeric_26;numeric_26_point_5;numeric_27;numeric_27_point_5;numeric_28;numeric_28_point_5;numeric_29;numeric_29_point_5;numeric_3;numeric_3_point_5;numeric_30;numeric_30_point_5;numeric_31;numeric_31_point_5;numeric_32;numeric_32_point_5;numeric_33;numeric_33_point_5;numeric_34;numeric_34_point_5;numeric_35;numeric_35_point_5;numeric_36;numeric_36_point_5;numeric_37;numeric_37_point_5;numeric_38;numeric_38_point_5;numeric_39;numeric_39_point_5;numeric_4;numeric_4_point_5;numeric_40;numeric_40_point_5;numeric_41;numeric_41_point_5;numeric_42;numeric_42_point_5;numeric_43;numeric_43_point_5;numeric_44;numeric_44_point_5;numeric_45;numeric_45_point_5;numeric_46;numeric_46_point_5;numeric_47;numeric_47_point_5;numeric_48;numeric_48_point_5;numeric_49;numeric_49_point_5;numeric_5;numeric_5_point_5;numeric_50;numeric_50_point_5;numeric_51;numeric_51_point_5;numeric_52;numeric_52_point_5;numeric_53;numeric_53_point_5;numeric_54;numeric_54_point_5;numeric_55;numeric_55_point_5;numeric_56;numeric_56_point_5;numeric_57;numeric_57_point_5;numeric_58;numeric_58_point_5;numeric_59;numeric_59_point_5;numeric_6;numeric_6_point_5;numeric_60;numeric_7;numeric_7_point_5;numeric_8;numeric_8_point_5;numeric_9;numeric_9_point_5;one_size;small;ss;x_l;x_s;xx_l;xx_s;xxx_l;xxx_s"
"Maximum Seller Allowed Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Are Batteries Included","Optional","Boolean","","No;Yes"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Water Resistance Level","Desired","Enum","","not_water_resistant;water_resistant;waterproof"
"Battery Weight","Optional","Decimal","",""
"Shoe Size Width","Optional","Enum","","a;b;c;d;e;f;g;h;1_point_5_e;2_a;2_e;2_point_5_e;3_a;3_e;3_point_5_e;4_a;4_e;4_point_5_e;5_e;6_e;m;medium;narrow;w;wide;x_narrow;x_wide;xx_narrow;xx_wide;xxx_narrow;xxx_wide"
"Number Of Batteries","Optional","Integer","",""
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Item Display Volume (Unit)","Optional","Enum","","centiliters;cubic-cm;cubic-ft;cubic-in;cubic-m;cubic-yd;cup;deciliters;fluid-oz;gallon;liter;liters;microliters;milliliter;milliliters;nanoliters;ounce;picoliters;pint;quart"
"Sale Price Points","Optional","Integer","",""
"Footwear Size System","Optional","Enum","","eu_footwear_size_system;jp_footwear_size_system;uk_footwear_size_system;us_footwear_size_system"
"Parentage","Optional","Enum","","child;parent"
"Shoe Size Width Unisex","Optional","Enum","","a;b;c;d;e;f;g;h;1_point_5_e;2_a;2_e;2_point_5_e;3_a;3_e;3_point_5_e;4_a;4_e;4_point_5_e;5_e;6_e;m;medium;narrow;w;wide;x_narrow;x_wide;xx_narrow;xx_wide;xxx_narrow;xxx_wide"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Standard Price Points","Optional","Integer","",""
"Shoe Safety Code Iso 20345","Optional","Enum","","a;ci;e;hi;hro;o;p;s1;s2;s3;sb;wru"
"Target Gender","Optional","Enum","","female;male;unisex"
"Waist Size (Unit)","Optional","Enum","","CM;IN"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Shoe Size Unisex","Optional","Enum","","fraction_14_and_1_ninth;fraction_14_and_1_third;fraction_14_and_2_thirds;fraction_15_and_1_ninth;fraction_15_and_1_third;fraction_15_and_2_thirds;fraction_16_and_1_ninth;fraction_16_and_1_third;fraction_16_and_2_thirds;fraction_17_and_1_ninth;fraction_17_and_1_third;fraction_17_and_2_thirds;fraction_18_and_1_ninth;fraction_18_and_1_third;fraction_18_and_2_thirds;fraction_19_and_1_ninth;fraction_19_and_1_third;fraction_19_and_2_thirds;fraction_20_and_1_ninth;fraction_20_and_1_third;fraction_20_and_2_thirds;fraction_21_and_1_ninth;fraction_21_and_1_third;fraction_21_and_2_thirds;fraction_22_and_1_ninth;fraction_22_and_1_third;fraction_22_and_2_thirds;fraction_23_and_1_ninth;fraction_23_and_1_third;fraction_23_and_2_thirds;fraction_24_and_1_ninth;fraction_24_and_1_third;fraction_24_and_2_thirds;fraction_25_and_1_ninth;fraction_25_and_1_third;fraction_25_and_2_thirds;fraction_26_and_1_ninth;fraction_26_and_1_third;fraction_26_and_2_thirds;fraction_27_and_1_ninth;fraction_27_and_1_third;fraction_27_and_2_thirds;fraction_28_and_1_ninth;fraction_28_and_1_third;fraction_28_and_2_thirds;fraction_29_and_1_ninth;fraction_29_and_1_third;fraction_29_and_2_thirds;fraction_30_and_1_ninth;fraction_30_and_1_third;fraction_30_and_2_thirds;fraction_31_and_1_ninth;fraction_31_and_1_third;fraction_31_and_2_thirds;fraction_32_and_1_ninth;fraction_32_and_1_third;fraction_32_and_2_thirds;fraction_33_and_1_ninth;fraction_33_and_1_third;fraction_33_and_2_thirds;fraction_34_and_1_ninth;fraction_34_and_1_third;fraction_34_and_2_thirds;fraction_35_and_1_ninth;fraction_35_and_1_third;fraction_35_and_2_thirds;fraction_36_and_1_ninth;fraction_36_and_1_third;fraction_36_and_2_thirds;fraction_37_and_1_ninth;fraction_37_and_1_third;fraction_37_and_2_thirds;fraction_38_and_1_ninth;fraction_38_and_1_third;fraction_38_and_2_thirds;fraction_39_and_1_ninth;fraction_39_and_1_third;fraction_39_and_2_thirds;fraction_40_and_1_ninth;fraction_40_and_1_third;fraction_40_and_2_thirds;fraction_41_and_1_ninth;fraction_41_and_1_third;fraction_41_and_2_thirds;fraction_42_and_1_ninth;fraction_42_and_1_third;fraction_42_and_2_thirds;fraction_43_and_1_ninth;fraction_43_and_1_third;fraction_43_and_2_thirds;fraction_44_and_1_ninth;fraction_44_and_1_third;fraction_44_and_2_thirds;fraction_45_and_1_ninth;fraction_45_and_1_third;fraction_45_and_2_thirds;fraction_46_and_1_ninth;fraction_46_and_1_third;fraction_46_and_2_thirds;fraction_47_and_1_ninth;fraction_47_and_1_third;fraction_47_and_2_thirds;fraction_48_and_1_ninth;fraction_48_and_1_third;fraction_48_and_2_thirds;fraction_49_and_1_ninth;fraction_49_and_1_third;fraction_49_and_2_thirds;fraction_50_and_1_ninth;fraction_50_and_1_third;fraction_50_and_2_thirds;fraction_51_and_1_ninth;fraction_51_and_1_third;fraction_51_and_2_thirds;fraction_52_and_1_ninth;fraction_52_and_1_third;fraction_52_and_2_thirds;fraction_53_and_1_ninth;fraction_53_and_1_third;fraction_53_and_2_thirds;fraction_54_and_1_ninth;fraction_54_and_1_third;fraction_54_and_2_thirds;fraction_55_and_1_ninth;fraction_55_and_1_third;fraction_55_and_2_thirds;fraction_56_and_1_ninth;fraction_56_and_1_third;fraction_56_and_2_thirds;fraction_57_and_1_ninth;fraction_57_and_1_third;fraction_57_and_2_thirds;fraction_58_and_1_ninth;fraction_58_and_1_third;fraction_58_and_2_thirds;fraction_59_and_1_ninth;fraction_59_and_1_third;fraction_59_and_2_thirds;0_months;12_months;15_months;18_months;2_point_5_years;2_years;21_months;24_months;3_months;3_point_5_years;3_years;4_point_5_years;4_years;5_years;6_months;9_months;large;ll;measurement_10_point_0_centimeters;measurement_10_point_5_centimeters;measurement_11_point_0_centimeters;measurement_11_point_5_centimeters;measurement_12_point_0_centimeters;measurement_12_point_5_centimeters;measurement_13_point_0_centimeters;measurement_13_point_5_centimeters;measurement_14_point_0_centimeters;measurement_14_point_5_centimeters;measurement_15_point_0_centimeters;measurement_15_point_5_centimeters;measurement_16_point_0_centimeters;measurement_16_point_5_centimeters;measurement_17_point_0_centimeters;measurement_17_point_5_centimeters;measurement_18_point_0_centimeters;measurement_18_point_5_centimeters;measurement_19_point_0_centimeters;measurement_19_point_5_centimeters;measurement_20_point_0_centimeters;measurement_20_point_5_centimeters;measurement_21_point_0_centimeters;measurement_21_point_5_centimeters;measurement_22_point_0_centimeters;measurement_22_point_5_centimeters;measurement_23_point_0_centimeters;measurement_23_point_5_centimeters;measurement_24_point_0_centimeters;measurement_24_point_5_centimeters;measurement_25_point_0_centimeters;measurement_25_point_5_centimeters;measurement_26_point_0_centimeters;measurement_26_point_5_centimeters;measurement_27_point_0_centimeters;measurement_27_point_5_centimeters;measurement_28_point_0_centimeters;measurement_28_point_5_centimeters;measurement_29_point_0_centimeters;measurement_29_point_5_centimeters;measurement_30_point_0_centimeters;measurement_30_point_5_centimeters;measurement_31_point_0_centimeters;measurement_31_point_5_centimeters;measurement_32_point_0_centimeters;measurement_32_point_5_centimeters;measurement_33_point_0_centimeters;measurement_33_point_5_centimeters;measurement_34_point_0_centimeters;measurement_34_point_5_centimeters;measurement_35_point_0_centimeters;measurement_35_point_5_centimeters;measurement_36_point_0_centimeters;measurement_36_point_5_centimeters;measurement_37_point_0_centimeters;measurement_37_point_5_centimeters;measurement_38_point_0_centimeters;measurement_38_point_5_centimeters;measurement_39_point_0_centimeters;measurement_39_point_5_centimeters;measurement_40_point_0_centimeters;medium;numeric_0;numeric_0_point_5;numeric_1;numeric_1_point_5;numeric_10;numeric_10_point_5;numeric_11;numeric_11_point_5;numeric_12;numeric_12_point_5;numeric_13;numeric_13_point_5;numeric_14;numeric_14_point_5;numeric_15;numeric_15_point_5;numeric_16;numeric_16_point_5;numeric_17;numeric_17_point_5;numeric_18;numeric_18_point_5;numeric_19;numeric_19_point_5;numeric_2;numeric_2_point_5;numeric_20;numeric_20_point_5;numeric_21;numeric_21_point_5;numeric_22;numeric_22_point_5;numeric_23;numeric_23_point_5;numeric_24;numeric_24_point_5;numeric_25;numeric_25_point_5;numeric_26;numeric_26_point_5;numeric_27;numeric_27_point_5;numeric_28;numeric_28_point_5;numeric_29;numeric_29_point_5;numeric_3;numeric_3_point_5;numeric_30;numeric_30_point_5;numeric_31;numeric_31_point_5;numeric_32;numeric_32_point_5;numeric_33;numeric_33_point_5;numeric_34;numeric_34_point_5;numeric_35;numeric_35_point_5;numeric_36;numeric_36_point_5;numeric_37;numeric_37_point_5;numeric_38;numeric_38_point_5;numeric_39;numeric_39_point_5;numeric_4;numeric_4_point_5;numeric_40;numeric_40_point_5;numeric_41;numeric_41_point_5;numeric_42;numeric_42_point_5;numeric_43;numeric_43_point_5;numeric_44;numeric_44_point_5;numeric_45;numeric_45_point_5;numeric_46;numeric_46_point_5;numeric_47;numeric_47_point_5;numeric_48;numeric_48_point_5;numeric_49;numeric_49_point_5;numeric_5;numeric_5_point_5;numeric_50;numeric_50_point_5;numeric_51;numeric_51_point_5;numeric_52;numeric_52_point_5;numeric_53;numeric_53_point_5;numeric_54;numeric_54_point_5;numeric_55;numeric_55_point_5;numeric_56;numeric_56_point_5;numeric_57;numeric_57_point_5;numeric_58;numeric_58_point_5;numeric_59;numeric_59_point_5;numeric_6;numeric_6_point_5;numeric_60;numeric_7;numeric_7_point_5;numeric_8;numeric_8_point_5;numeric_9;numeric_9_point_5;one_size;small;ss;x_l;x_s;xx_l;xx_s;xxx_l;xxx_s"
"Are Batteries Required","Optional","Boolean","","No;Yes"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Battery Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Shoe Size To Range Unisex","Optional","Enum","","fraction_14_and_1_ninth;fraction_14_and_1_third;fraction_14_and_2_thirds;fraction_15_and_1_ninth;fraction_15_and_1_third;fraction_15_and_2_thirds;fraction_16_and_1_ninth;fraction_16_and_1_third;fraction_16_and_2_thirds;fraction_17_and_1_ninth;fraction_17_and_1_third;fraction_17_and_2_thirds;fraction_18_and_1_ninth;fraction_18_and_1_third;fraction_18_and_2_thirds;fraction_19_and_1_ninth;fraction_19_and_1_third;fraction_19_and_2_thirds;fraction_20_and_1_ninth;fraction_20_and_1_third;fraction_20_and_2_thirds;fraction_21_and_1_ninth;fraction_21_and_1_third;fraction_21_and_2_thirds;fraction_22_and_1_ninth;fraction_22_and_1_third;fraction_22_and_2_thirds;fraction_23_and_1_ninth;fraction_23_and_1_third;fraction_23_and_2_thirds;fraction_24_and_1_ninth;fraction_24_and_1_third;fraction_24_and_2_thirds;fraction_25_and_1_ninth;fraction_25_and_1_third;fraction_25_and_2_thirds;fraction_26_and_1_ninth;fraction_26_and_1_third;fraction_26_and_2_thirds;fraction_27_and_1_ninth;fraction_27_and_1_third;fraction_27_and_2_thirds;fraction_28_and_1_ninth;fraction_28_and_1_third;fraction_28_and_2_thirds;fraction_29_and_1_ninth;fraction_29_and_1_third;fraction_29_and_2_thirds;fraction_30_and_1_ninth;fraction_30_and_1_third;fraction_30_and_2_thirds;fraction_31_and_1_ninth;fraction_31_and_1_third;fraction_31_and_2_thirds;fraction_32_and_1_ninth;fraction_32_and_1_third;fraction_32_and_2_thirds;fraction_33_and_1_ninth;fraction_33_and_1_third;fraction_33_and_2_thirds;fraction_34_and_1_ninth;fraction_34_and_1_third;fraction_34_and_2_thirds;fraction_35_and_1_ninth;fraction_35_and_1_third;fraction_35_and_2_thirds;fraction_36_and_1_ninth;fraction_36_and_1_third;fraction_36_and_2_thirds;fraction_37_and_1_ninth;fraction_37_and_1_third;fraction_37_and_2_thirds;fraction_38_and_1_ninth;fraction_38_and_1_third;fraction_38_and_2_thirds;fraction_39_and_1_ninth;fraction_39_and_1_third;fraction_39_and_2_thirds;fraction_40_and_1_ninth;fraction_40_and_1_third;fraction_40_and_2_thirds;fraction_41_and_1_ninth;fraction_41_and_1_third;fraction_41_and_2_thirds;fraction_42_and_1_ninth;fraction_42_and_1_third;fraction_42_and_2_thirds;fraction_43_and_1_ninth;fraction_43_and_1_third;fraction_43_and_2_thirds;fraction_44_and_1_ninth;fraction_44_and_1_third;fraction_44_and_2_thirds;fraction_45_and_1_ninth;fraction_45_and_1_third;fraction_45_and_2_thirds;fraction_46_and_1_ninth;fraction_46_and_1_third;fraction_46_and_2_thirds;fraction_47_and_1_ninth;fraction_47_and_1_third;fraction_47_and_2_thirds;fraction_48_and_1_ninth;fraction_48_and_1_third;fraction_48_and_2_thirds;fraction_49_and_1_ninth;fraction_49_and_1_third;fraction_49_and_2_thirds;fraction_50_and_1_ninth;fraction_50_and_1_third;fraction_50_and_2_thirds;fraction_51_and_1_ninth;fraction_51_and_1_third;fraction_51_and_2_thirds;fraction_52_and_1_ninth;fraction_52_and_1_third;fraction_52_and_2_thirds;fraction_53_and_1_ninth;fraction_53_and_1_third;fraction_53_and_2_thirds;fraction_54_and_1_ninth;fraction_54_and_1_third;fraction_54_and_2_thirds;fraction_55_and_1_ninth;fraction_55_and_1_third;fraction_55_and_2_thirds;fraction_56_and_1_ninth;fraction_56_and_1_third;fraction_56_and_2_thirds;fraction_57_and_1_ninth;fraction_57_and_1_third;fraction_57_and_2_thirds;fraction_58_and_1_ninth;fraction_58_and_1_third;fraction_58_and_2_thirds;fraction_59_and_1_ninth;fraction_59_and_1_third;fraction_59_and_2_thirds;0_months;12_months;15_months;18_months;2_point_5_years;2_years;21_months;24_months;3_months;3_point_5_years;3_years;4_point_5_years;4_years;5_years;6_months;9_months;large;ll;measurement_10_point_0_centimeters;measurement_10_point_5_centimeters;measurement_11_point_0_centimeters;measurement_11_point_5_centimeters;measurement_12_point_0_centimeters;measurement_12_point_5_centimeters;measurement_13_point_0_centimeters;measurement_13_point_5_centimeters;measurement_14_point_0_centimeters;measurement_14_point_5_centimeters;measurement_15_point_0_centimeters;measurement_15_point_5_centimeters;measurement_16_point_0_centimeters;measurement_16_point_5_centimeters;measurement_17_point_0_centimeters;measurement_17_point_5_centimeters;measurement_18_point_0_centimeters;measurement_18_point_5_centimeters;measurement_19_point_0_centimeters;measurement_19_point_5_centimeters;measurement_20_point_0_centimeters;measurement_20_point_5_centimeters;measurement_21_point_0_centimeters;measurement_21_point_5_centimeters;measurement_22_point_0_centimeters;measurement_22_point_5_centimeters;measurement_23_point_0_centimeters;measurement_23_point_5_centimeters;measurement_24_point_0_centimeters;measurement_24_point_5_centimeters;measurement_25_point_0_centimeters;measurement_25_point_5_centimeters;measurement_26_point_0_centimeters;measurement_26_point_5_centimeters;measurement_27_point_0_centimeters;measurement_27_point_5_centimeters;measurement_28_point_0_centimeters;measurement_28_point_5_centimeters;measurement_29_point_0_centimeters;measurement_29_point_5_centimeters;measurement_30_point_0_centimeters;measurement_30_point_5_centimeters;measurement_31_point_0_centimeters;measurement_31_point_5_centimeters;measurement_32_point_0_centimeters;measurement_32_point_5_centimeters;measurement_33_point_0_centimeters;measurement_33_point_5_centimeters;measurement_34_point_0_centimeters;measurement_34_point_5_centimeters;measurement_35_point_0_centimeters;measurement_35_point_5_centimeters;measurement_36_point_0_centimeters;measurement_36_point_5_centimeters;measurement_37_point_0_centimeters;measurement_37_point_5_centimeters;measurement_38_point_0_centimeters;measurement_38_point_5_centimeters;measurement_39_point_0_centimeters;measurement_39_point_5_centimeters;measurement_40_point_0_centimeters;medium;numeric_0;numeric_0_point_5;numeric_1;numeric_1_point_5;numeric_10;numeric_10_point_5;numeric_11;numeric_11_point_5;numeric_12;numeric_12_point_5;numeric_13;numeric_13_point_5;numeric_14;numeric_14_point_5;numeric_15;numeric_15_point_5;numeric_16;numeric_16_point_5;numeric_17;numeric_17_point_5;numeric_18;numeric_18_point_5;numeric_19;numeric_19_point_5;numeric_2;numeric_2_point_5;numeric_20;numeric_20_point_5;numeric_21;numeric_21_point_5;numeric_22;numeric_22_point_5;numeric_23;numeric_23_point_5;numeric_24;numeric_24_point_5;numeric_25;numeric_25_point_5;numeric_26;numeric_26_point_5;numeric_27;numeric_27_point_5;numeric_28;numeric_28_point_5;numeric_29;numeric_29_point_5;numeric_3;numeric_3_point_5;numeric_30;numeric_30_point_5;numeric_31;numeric_31_point_5;numeric_32;numeric_32_point_5;numeric_33;numeric_33_point_5;numeric_34;numeric_34_point_5;numeric_35;numeric_35_point_5;numeric_36;numeric_36_point_5;numeric_37;numeric_37_point_5;numeric_38;numeric_38_point_5;numeric_39;numeric_39_point_5;numeric_4;numeric_4_point_5;numeric_40;numeric_40_point_5;numeric_41;numeric_41_point_5;numeric_42;numeric_42_point_5;numeric_43;numeric_43_point_5;numeric_44;numeric_44_point_5;numeric_45;numeric_45_point_5;numeric_46;numeric_46_point_5;numeric_47;numeric_47_point_5;numeric_48;numeric_48_point_5;numeric_49;numeric_49_point_5;numeric_5;numeric_5_point_5;numeric_50;numeric_50_point_5;numeric_51;numeric_51_point_5;numeric_52;numeric_52_point_5;numeric_53;numeric_53_point_5;numeric_54;numeric_54_point_5;numeric_55;numeric_55_point_5;numeric_56;numeric_56_point_5;numeric_57;numeric_57_point_5;numeric_58;numeric_58_point_5;numeric_59;numeric_59_point_5;numeric_6;numeric_6_point_5;numeric_60;numeric_7;numeric_7_point_5;numeric_8;numeric_8_point_5;numeric_9;numeric_9_point_5;one_size;small;ss;x_l;x_s;xx_l;xx_s;xxx_l;xxx_s"
"Is Stain Resistant","Optional","Boolean","","No;Yes"
"Shoe Size Class","Optional","Enum","","age;age_range;alpha;alpha_range;measurement;measurement_range;numeric;numeric_range"
"Item Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Volume Capacity Name (Unit)","Optional","Enum","","centiliters;cubic-cm;cubic-ft;cubic-in;cubic-m;cubic-yd;cup;deciliters;fluid-oz;gallon;liter;liters;microliters;milliliter;milliliters;nanoliters;ounce;picoliters;pint;quart"
"Rental 0 Start Date","Optional","DateTime","",""
"Item Package Quantity","Optional","Integer","minInclusive:1",""
"Making Charges Standard Price","Optional","String","maxLength:50;minLength:1",""
"Rental 2 End Date","Optional","DateTime","",""
"Optional Payment Type Exclusion","Optional","Enum","","cash_on_delivery;cvs;exclude_none;exclude cod;exclude cod and cvs;exclude cvs"
"Pricing Strategy","Optional","Enum","","bulk_by_uom;catch_by_uom;produce_by_each;produce_by_uom"
"Is Heat Sensitive","Optional","Boolean","","No;Yes"
"Quantity Lower Bound 4","Optional","Integer","totalDigits:12",""
"Rental Price (Value)","Optional","Decimal","totalDigits:20;fractionDigits:4",""
